ime_ekipe,ime_igralca,tip,leto
EDward Gaming,Korol,WLDs,2014
EDward Gaming,Clearlove,WLDs,2014
EDward Gaming,U,WLDs,2014
EDward Gaming,NaMei,WLDs,2014
EDward Gaming,FZZF,WLDs,2014
Samsung White,Looper,WLDs,2014
Samsung White,DanDy,WLDs,2014
Samsung White,PawN,WLDs,2014
Samsung White,imp,WLDs,2014
Samsung White,Mata,WLDs,2014
TSM,Dyrus,WLDs,2014
TSM,Amazing,WLDs,2014
TSM,Bjergsen,WLDs,2014
TSM,WildTurtle,WLDs,2014
TSM,Lustboy,WLDs,2014
SK Gaming,fredy122,WLDs,2014
SK Gaming,Gilius,WLDs,2014
SK Gaming,Jesiz,WLDs,2014
SK Gaming,CandyPanda,WLDs,2014
SK Gaming,nRated,WLDs,2014
Dark Passage,fabFabulous,WLDs,2014
Dark Passage,Crystal,WLDs,2014
Dark Passage,Naru,WLDs,2014
Dark Passage,HolyPhoenix,WLDs,2014
Dark Passage,Touch,WLDs,2014
ahq eSports Club,Prydz,WLDs,2014
ahq eSports Club,Naz,WLDs,2014
ahq eSports Club,Westdoor,WLDs,2014
ahq eSports Club,GarnetDevil,WLDs,2014
ahq eSports Club,GreenTea,WLDs,2014
Taipei Assassins,Achie,WLDs,2014
Taipei Assassins,Winds,WLDs,2014
Taipei Assassins,Morning,WLDs,2014
Taipei Assassins,BeBe,WLDs,2014
Taipei Assassins,Chieh,WLDs,2014
Royal Club,Cola,WLDs,2014
Royal Club,inSec,WLDs,2014
Royal Club,Corn,WLDs,2014
Royal Club,Uzi,WLDs,2014
Royal Club,Zero,WLDs,2014
SK Gaming,Svenskeren,WLDs,2014
LMQ,GodLike,WLDs,2014
LMQ,NONAME,WLDs,2014
LMQ,XiaoWeiXiao,WLDs,2014
LMQ,Vasilii,WLDs,2014
LMQ,Mor,WLDs,2014
Oh My God,Gogoing,WLDs,2014
Oh My God,LoveLing,WLDs,2014
Oh My God,Cool,WLDs,2014
Oh My God,san,WLDs,2014
Oh My God,Da7,WLDs,2014
NaJin White Shield,Save,WLDs,2014
NaJin White Shield,Watch,WLDs,2014
NaJin White Shield,Ggoong,WLDs,2014
NaJin White Shield,Zefa,WLDs,2014
NaJin White Shield,GorillA,WLDs,2014
KaBuM! e-Sports,Lep,WLDs,2014
KaBuM! e-Sports,Danagorn,WLDs,2014
KaBuM! e-Sports,tinowns,WLDs,2014
KaBuM! e-Sports,Minerva,WLDs,2014
KaBuM! e-Sports,dans,WLDs,2014
Samsung Blue,Acorn,WLDs,2014
Samsung Blue,Spirit,WLDs,2014
Samsung Blue,dade,WLDs,2014
Samsung Blue,Deft,WLDs,2014
Samsung Blue,Heart,WLDs,2014
Cloud9,BalIs,WLDs,2014
Cloud9,Meteos,WLDs,2014
Cloud9,Hai,WLDs,2014
Cloud9,Sneaky,WLDs,2014
Cloud9,LemonNation,WLDs,2014
Alliance,Wickd,WLDs,2014
Alliance,Shook,WLDs,2014
Alliance,Froggen,WLDs,2014
Alliance,Tabzz,WLDs,2014
Alliance,Nyph,WLDs,2014
Fnatic,sOAZ,WLDs,2014
Fnatic,Cyanide,WLDs,2014
Fnatic,xPeke,WLDs,2014
Fnatic,Rekkles,WLDs,2014
Fnatic,YellOwStaR,WLDs,2014
Oh My God,CL0UD,WLDs,2014
Fnatic,Huni,MSI,2015
Fnatic,Reignover,MSI,2015
Fnatic,FEBIVEN,MSI,2015
Fnatic,Steeelback,MSI,2015
Fnatic,YellOwStaR,MSI,2015
TSM,Dyrus,MSI,2015
TSM,Santorin,MSI,2015
TSM,Bjergsen,MSI,2015
TSM,WildTurtle,MSI,2015
TSM,Lustboy,MSI,2015
Beşiktaş Esports,Thaldrin,MSI,2015
Beşiktaş Esports,Theokoles,MSI,2015
Beşiktaş Esports,Energy,MSI,2015
Beşiktaş Esports,Nardeus,MSI,2015
Beşiktaş Esports,Dumbledoge,MSI,2015
SK Telecom T1,MaRin,MSI,2015
SK Telecom T1,Bengi,MSI,2015
SK Telecom T1,Faker,MSI,2015
SK Telecom T1,Bang,MSI,2015
SK Telecom T1,Wolf,MSI,2015
EDward Gaming,Korol,MSI,2015
EDward Gaming,Clearlove,MSI,2015
EDward Gaming,PawN,MSI,2015
EDward Gaming,Deft,MSI,2015
EDward Gaming,Meiko,MSI,2015
ahq eSports Club,Ziv,MSI,2015
ahq eSports Club,Mountain,MSI,2015
ahq eSports Club,Westdoor,MSI,2015
ahq eSports Club,An,MSI,2015
ahq eSports Club,Albis,MSI,2015
SK Telecom T1,Easyhoon,MSI,2015
Fnatic,Huni,WLDs,2015
Fnatic,Reignover,WLDs,2015
Fnatic,FEBIVEN,WLDs,2015
Fnatic,Rekkles,WLDs,2015
Fnatic,YellOwStaR,WLDs,2015
Invictus Gaming,Zz1tai,WLDs,2015
Invictus Gaming,KaKAO,WLDs,2015
Invictus Gaming,Rookie,WLDs,2015
Invictus Gaming,Kid,WLDs,2015
Invictus Gaming,Kitties,WLDs,2015
Cloud9,BalIs,WLDs,2015
Cloud9,Hai,WLDs,2015
Cloud9,Jensen,WLDs,2015
Cloud9,Sneaky,WLDs,2015
Cloud9,LemonNation,WLDs,2015
ahq eSports Club,Ziv,WLDs,2015
ahq eSports Club,Mountain,WLDs,2015
ahq eSports Club,Westdoor,WLDs,2015
ahq eSports Club,An,WLDs,2015
ahq eSports Club,Albis,WLDs,2015
SK Telecom T1,MaRin,WLDs,2015
SK Telecom T1,Bengi,WLDs,2015
SK Telecom T1,Faker,WLDs,2015
SK Telecom T1,Bang,WLDs,2015
SK Telecom T1,Wolf,WLDs,2015
H2k-Gaming,Odoamne,WLDs,2015
H2k-Gaming,Loulex,WLDs,2015
H2k-Gaming,Ryu,WLDs,2015
H2k-Gaming,Hjarnan,WLDs,2015
H2k-Gaming,Kasing,WLDs,2015
EDward Gaming,AmazingJ,WLDs,2015
EDward Gaming,Clearlove,WLDs,2015
EDward Gaming,PawN,WLDs,2015
EDward Gaming,Deft,WLDs,2015
EDward Gaming,Meiko,WLDs,2015
Bangkok Titans,WarL0cK,WLDs,2015
Bangkok Titans,007x,WLDs,2015
Bangkok Titans,G4,WLDs,2015
Bangkok Titans,Lloyd,WLDs,2015
Bangkok Titans,Moss,WLDs,2015
Counter Logic Gaming,Darshan,WLDs,2015
Counter Logic Gaming,Xmithie,WLDs,2015
Counter Logic Gaming,Pobelter,WLDs,2015
Counter Logic Gaming,Doublelift,WLDs,2015
Counter Logic Gaming,aphromoo,WLDs,2015
Flash Wolves,Steak,WLDs,2015
Flash Wolves,Karsa,WLDs,2015
Flash Wolves,Maple,WLDs,2015
Flash Wolves,Kramer,WLDs,2015
Flash Wolves,SwordArt,WLDs,2015
paiN Gaming,Mylon,WLDs,2015
paiN Gaming,Sirt,WLDs,2015
paiN Gaming,Kami,WLDs,2015
paiN Gaming,brTT,WLDs,2015
paiN Gaming,Dioud,WLDs,2015
ROX Tigers,Smeb,WLDs,2015
ROX Tigers,Hojin,WLDs,2015
ROX Tigers,Kuro,WLDs,2015
ROX Tigers,PraY,WLDs,2015
ROX Tigers,GorillA,WLDs,2015
KT Rolster,Ssumday,WLDs,2015
KT Rolster,Score,WLDs,2015
KT Rolster,Nagne,WLDs,2015
KT Rolster,Arrow,WLDs,2015
KT Rolster,Piccaboo,WLDs,2015
TSM,Dyrus,WLDs,2015
TSM,Santorin,WLDs,2015
TSM,Bjergsen,WLDs,2015
TSM,WildTurtle,WLDs,2015
TSM,Lustboy,WLDs,2015
LGD Gaming,Acorn,WLDs,2015
LGD Gaming,tbq,WLDs,2015
LGD Gaming,GodV,WLDs,2015
LGD Gaming,imp,WLDs,2015
LGD Gaming,Pyl,WLDs,2015
Origen,sOAZ,WLDs,2015
Origen,Amazing,WLDs,2015
Origen,xPeke,WLDs,2015
Origen,Zven,WLDs,2015
Origen,Mithy,WLDs,2015
Flash Wolves,NL,WLDs,2015
SK Telecom T1,Easyhoon,WLDs,2015
LGD Gaming,Flame,WLDs,2015
Invictus Gaming,Time,WLDs,2015
EDward Gaming,Korol,WLDs,2015
Royal Never Give Up,Looper,MSI,2016
Royal Never Give Up,Mlxg,MSI,2016
Royal Never Give Up,Xiaohu,MSI,2016
Royal Never Give Up,Wuxx,MSI,2016
Royal Never Give Up,Mata,MSI,2016
Counter Logic Gaming,Darshan,MSI,2016
Counter Logic Gaming,Xmithie,MSI,2016
Counter Logic Gaming,huhi,MSI,2016
Counter Logic Gaming,Stixxay,MSI,2016
Counter Logic Gaming,aphromoo,MSI,2016
G2 Esports,Kikis,MSI,2016
G2 Esports,Trick,MSI,2016
G2 Esports,Perkz,MSI,2016
G2 Esports,Emperor,MSI,2016
G2 Esports,Hybrid,MSI,2016
Flash Wolves,MMD,MSI,2016
Flash Wolves,Karsa,MSI,2016
Flash Wolves,Maple,MSI,2016
Flash Wolves,NL,MSI,2016
Flash Wolves,SwordArt,MSI,2016
SK Telecom T1,Duke,MSI,2016
SK Telecom T1,Blank,MSI,2016
SK Telecom T1,Faker,MSI,2016
SK Telecom T1,Bang,MSI,2016
SK Telecom T1,Wolf,MSI,2016
SuperMassive Esports,Thaldrin,MSI,2016
SuperMassive Esports,Stomaged,MSI,2016
SuperMassive Esports,Naru,MSI,2016
SuperMassive Esports,Achuu,MSI,2016
SuperMassive Esports,Dumbledoge,MSI,2016
SuperMassive Esports,fabFabulous,MSI,2016
G2 Esports,Expect,WLDs,2016
G2 Esports,Trick,WLDs,2016
G2 Esports,Perkz,WLDs,2016
G2 Esports,Zven,WLDs,2016
G2 Esports,Mithy,WLDs,2016
Counter Logic Gaming,Darshan,WLDs,2016
Counter Logic Gaming,Xmithie,WLDs,2016
Counter Logic Gaming,huhi,WLDs,2016
Counter Logic Gaming,Stixxay,WLDs,2016
Counter Logic Gaming,aphromoo,WLDs,2016
ROX Tigers,Smeb,WLDs,2016
ROX Tigers,Peanut,WLDs,2016
ROX Tigers,Kuro,WLDs,2016
ROX Tigers,PraY,WLDs,2016
ROX Tigers,GorillA,WLDs,2016
Albus NoX Luna,Smurf,WLDs,2016
Albus NoX Luna,PvPStejos,WLDs,2016
Albus NoX Luna,Kira,WLDs,2016
Albus NoX Luna,Onesh0tiq,WLDs,2016
Albus NoX Luna,Likkrit,WLDs,2016
H2k-Gaming,Odoamne,WLDs,2016
H2k-Gaming,Jankos,WLDs,2016
H2k-Gaming,Ryu,WLDs,2016
H2k-Gaming,FORG1VEN,WLDs,2016
H2k-Gaming,Vander,WLDs,2016
ahq eSports Club,Ziv,WLDs,2016
ahq eSports Club,Mountain,WLDs,2016
ahq eSports Club,Westdoor,WLDs,2016
ahq eSports Club,An,WLDs,2016
ahq eSports Club,Albis,WLDs,2016
INTZ,Yang,WLDs,2016
INTZ,Revolta,WLDs,2016
INTZ,tockers,WLDs,2016
INTZ,micaO,WLDs,2016
INTZ,Jockster,WLDs,2016
EDward Gaming,Mouse,WLDs,2016
EDward Gaming,Clearlove,WLDs,2016
EDward Gaming,PawN,WLDs,2016
EDward Gaming,Deft,WLDs,2016
EDward Gaming,Meiko,WLDs,2016
Samsung Galaxy,CuVee,WLDs,2016
Samsung Galaxy,Ambition,WLDs,2016
Samsung Galaxy,Crown,WLDs,2016
Samsung Galaxy,Ruler,WLDs,2016
Samsung Galaxy,Wraith,WLDs,2016
Splyce,Wunder,WLDs,2016
Splyce,Kold,WLDs,2016
Splyce,Sencux,WLDs,2016
Splyce,Kobbe,WLDs,2016
Splyce,Mikyx,WLDs,2016
TSM,Hauntzer,WLDs,2016
TSM,Svenskeren,WLDs,2016
TSM,Bjergsen,WLDs,2016
TSM,Doublelift,WLDs,2016
TSM,Biofrost,WLDs,2016
Royal Never Give Up,Looper,WLDs,2016
Royal Never Give Up,Mlxg,WLDs,2016
Royal Never Give Up,Xiaohu,WLDs,2016
Royal Never Give Up,Uzi,WLDs,2016
Royal Never Give Up,Mata,WLDs,2016
SK Telecom T1,Duke,WLDs,2016
SK Telecom T1,Bengi,WLDs,2016
SK Telecom T1,Faker,WLDs,2016
SK Telecom T1,Bang,WLDs,2016
SK Telecom T1,Wolf,WLDs,2016
Cloud9,Impact,WLDs,2016
Cloud9,Meteos,WLDs,2016
Cloud9,Jensen,WLDs,2016
Cloud9,Sneaky,WLDs,2016
Cloud9,Smoothie,WLDs,2016
Flash Wolves,MMD,WLDs,2016
Flash Wolves,Karsa,WLDs,2016
Flash Wolves,Maple,WLDs,2016
Flash Wolves,NL,WLDs,2016
Flash Wolves,SwordArt,WLDs,2016
I May,AmazingJ,WLDs,2016
I May,Avoidless,WLDs,2016
I May,Athena,WLDs,2016
I May,Jinjiao,WLDs,2016
I May,Road,WLDs,2016
ahq eSports Club,Chawy,WLDs,2016
I May,BaeMe,WLDs,2016
SK Telecom T1,Blank,WLDs,2016
Samsung Galaxy,CoreJJ,WLDs,2016
EDward Gaming,Scout,WLDs,2016
EDward Gaming,Korol,WLDs,2016
RED Canids,Robo,MSI,2017
RED Canids,Nappon,MSI,2017
RED Canids,tockers,MSI,2017
RED Canids,brTT,MSI,2017
RED Canids,Dioud,MSI,2017
Dire Wolves,Chippys,MSI,2017
Dire Wolves,Shernfire,MSI,2017
Dire Wolves,Richard,MSI,2017
Dire Wolves,k1ng,MSI,2017
Dire Wolves,Destiny,MSI,2017
SuperMassive Esports,fabFabulous,MSI,2017
SuperMassive Esports,Stomaged,MSI,2017
SuperMassive Esports,Naru,MSI,2017
SuperMassive Esports,Zeitnot,MSI,2017
SuperMassive Esports,Dumbledoge,MSI,2017
Rampage,Evi,MSI,2017
Rampage,Tussle,MSI,2017
Rampage,Ramune,MSI,2017
Rampage,Moyashi,MSI,2017
Rampage,Dara,MSI,2017
Virtus.pro,Doxy,MSI,2017
Virtus.pro,Kreox,MSI,2017
Virtus.pro,Paranoia,MSI,2017
Virtus.pro,Blasting,MSI,2017
Virtus.pro,SaNTaS,MSI,2017
Lyon Gaming,Jirall,MSI,2017
Lyon Gaming,Oddie,MSI,2017
Lyon Gaming,Seiya,MSI,2017
Lyon Gaming,WhiteLotus,MSI,2017
Lyon Gaming,Genthix,MSI,2017
GAM Esports,Stark,MSI,2017
GAM Esports,Levi,MSI,2017
GAM Esports,Optimus,MSI,2017
GAM Esports,Slay,MSI,2017
GAM Esports,Archie,MSI,2017
Isurus,Pride,MSI,2017
Isurus,QQMore,MSI,2017
Isurus,Emp,MSI,2017
Isurus,Kindless,MSI,2017
Isurus,Newbie,MSI,2017
RED Canids,YoDa,MSI,2017
TSM,Hauntzer,MSI,2017
TSM,Svenskeren,MSI,2017
TSM,Bjergsen,MSI,2017
TSM,WildTurtle,MSI,2017
TSM,Biofrost,MSI,2017
Flash Wolves,MMD,MSI,2017
Flash Wolves,Karsa,MSI,2017
Flash Wolves,Maple,MSI,2017
Flash Wolves,Betty,MSI,2017
Flash Wolves,SwordArt,MSI,2017
G2 Esports,Expect,MSI,2017
G2 Esports,Trick,MSI,2017
G2 Esports,Perkz,MSI,2017
G2 Esports,Zven,MSI,2017
G2 Esports,Mithy,MSI,2017
SK Telecom T1,Huni,MSI,2017
SK Telecom T1,Peanut,MSI,2017
SK Telecom T1,Faker,MSI,2017
SK Telecom T1,Bang,MSI,2017
SK Telecom T1,Wolf,MSI,2017
Team WE,957,MSI,2017
Team WE,Condi,MSI,2017
Team WE,xiye,MSI,2017
Team WE,Mystic,MSI,2017
Team WE,Ben,MSI,2017
Team WE,Zero,MSI,2017
Team WE,957,WLDs,2017
Team WE,Condi,WLDs,2017
Team WE,xiye,WLDs,2017
Team WE,Mystic,WLDs,2017
Team WE,Ben,WLDs,2017
Lyon Gaming,Jirall,WLDs,2017
Lyon Gaming,Oddie,WLDs,2017
Lyon Gaming,Seiya,WLDs,2017
Lyon Gaming,WhiteLotus,WLDs,2017
Lyon Gaming,Genthix,WLDs,2017
Cloud9,Impact,WLDs,2017
Cloud9,Contractz,WLDs,2017
Cloud9,Jensen,WLDs,2017
Cloud9,Sneaky,WLDs,2017
Cloud9,Smoothie,WLDs,2017
Team oNe eSports,VVvert,WLDs,2017
Team oNe eSports,4LaN,WLDs,2017
Team oNe eSports,Brucer,WLDs,2017
Team oNe eSports,Absolut,WLDs,2017
Team oNe eSports,RedBert,WLDs,2017
Gambit Esports,PvPStejos,WLDs,2017
Gambit Esports,Diamondprox,WLDs,2017
Gambit Esports,Kira,WLDs,2017
Gambit Esports,Blasting,WLDs,2017
Gambit Esports,Edward,WLDs,2017
Dire Wolves,Chippys,WLDs,2017
Dire Wolves,Shernfire,WLDs,2017
Dire Wolves,Richard,WLDs,2017
Dire Wolves,k1ng,WLDs,2017
Dire Wolves,Destiny,WLDs,2017
Team oNe eSports,Marfz,WLDs,2017
Team WE,Zero,WLDs,2017
Young Generation,Ren,WLDs,2017
Young Generation,Venus,WLDs,2017
Young Generation,Naul,WLDs,2017
Young Generation,Bigkoro,WLDs,2017
Young Generation,Palette,WLDs,2017
Kaos Latin Gamers,MANTARRAYA,WLDs,2017
Kaos Latin Gamers,Tierwulf,WLDs,2017
Kaos Latin Gamers,Plugo,WLDs,2017
Kaos Latin Gamers,Fix,WLDs,2017
Kaos Latin Gamers,Slow,WLDs,2017
Rampage,Evi,WLDs,2017
Rampage,Tussle,WLDs,2017
Rampage,Ramune,WLDs,2017
Rampage,Moyashi,WLDs,2017
Rampage,Dara,WLDs,2017
Hong Kong Attitude,Riris,WLDs,2017
Hong Kong Attitude,GodKwai,WLDs,2017
Hong Kong Attitude,Mission,WLDs,2017
Hong Kong Attitude,Unified,WLDs,2017
Hong Kong Attitude,Kaiwing,WLDs,2017
Fnatic,sOAZ,WLDs,2017
Fnatic,Broxah,WLDs,2017
Fnatic,Caps,WLDs,2017
Fnatic,Rekkles,WLDs,2017
Fnatic,Jesiz,WLDs,2017
Fenerbahçe Esports,Thaldrin,WLDs,2017
Fenerbahçe Esports,Crash,WLDs,2017
Fenerbahçe Esports,Frozen,WLDs,2017
Fenerbahçe Esports,Padden,WLDs,2017
Fenerbahçe Esports,Japone,WLDs,2017
Young Generation,yT,WLDs,2017
Hong Kong Attitude,Gemini,WLDs,2017
Royal Never Give Up,Letme,WLDs,2017
Royal Never Give Up,Mlxg,WLDs,2017
Royal Never Give Up,Xiaohu,WLDs,2017
Royal Never Give Up,Uzi,WLDs,2017
Royal Never Give Up,Ming,WLDs,2017
G2 Esports,Expect,WLDs,2017
G2 Esports,Trick,WLDs,2017
G2 Esports,Perkz,WLDs,2017
G2 Esports,Zven,WLDs,2017
G2 Esports,Mithy,WLDs,2017
Samsung Galaxy,CuVee,WLDs,2017
Samsung Galaxy,Ambition,WLDs,2017
Samsung Galaxy,Crown,WLDs,2017
Samsung Galaxy,Ruler,WLDs,2017
Samsung Galaxy,CoreJJ,WLDs,2017
Longzhu Gaming,Khan,WLDs,2017
Longzhu Gaming,Cuzz,WLDs,2017
Longzhu Gaming,Bdd,WLDs,2017
Longzhu Gaming,PraY,WLDs,2017
Longzhu Gaming,GorillA,WLDs,2017
Immortals,Flame,WLDs,2017
Immortals,Xmithie,WLDs,2017
Immortals,Pobelter,WLDs,2017
Immortals,Cody Sun,WLDs,2017
Immortals,Olleh,WLDs,2017
GAM Esports,Archie,WLDs,2017
GAM Esports,Levi,WLDs,2017
GAM Esports,Optimus,WLDs,2017
GAM Esports,Noway,WLDs,2017
GAM Esports,Nevan,WLDs,2017
SK Telecom T1,Huni,WLDs,2017
SK Telecom T1,Peanut,WLDs,2017
SK Telecom T1,Faker,WLDs,2017
SK Telecom T1,Bang,WLDs,2017
SK Telecom T1,Wolf,WLDs,2017
EDward Gaming,Mouse,WLDs,2017
EDward Gaming,Clearlove,WLDs,2017
EDward Gaming,Scout,WLDs,2017
EDward Gaming,iBoy,WLDs,2017
EDward Gaming,Meiko,WLDs,2017
ahq eSports Club,Ziv,WLDs,2017
ahq eSports Club,Mountain,WLDs,2017
ahq eSports Club,Westdoor,WLDs,2017
ahq eSports Club,An,WLDs,2017
ahq eSports Club,Albis,WLDs,2017
Flash Wolves,MMD,WLDs,2017
Flash Wolves,Karsa,WLDs,2017
Flash Wolves,Maple,WLDs,2017
Flash Wolves,Betty,WLDs,2017
Flash Wolves,SwordArt,WLDs,2017
TSM,Hauntzer,WLDs,2017
TSM,Svenskeren,WLDs,2017
TSM,Bjergsen,WLDs,2017
TSM,Doublelift,WLDs,2017
TSM,Biofrost,WLDs,2017
Misfits Gaming,Alphari,WLDs,2017
Misfits Gaming,Maxlore,WLDs,2017
Misfits Gaming,PowerOfEvil,WLDs,2017
Misfits Gaming,Hans Sama,WLDs,2017
Misfits Gaming,IgNar,WLDs,2017
ahq eSports Club,Chawy,WLDs,2017
Samsung Galaxy,Haru,WLDs,2017
GAM Esports,Sya,WLDs,2017
Longzhu Gaming,Rascal,WLDs,2017
SK Telecom T1,Blank,WLDs,2017
Gambit Esports,PvPStejos,MSI,2018
Gambit Esports,Diamondprox,MSI,2018
Gambit Esports,Kira,MSI,2018
Gambit Esports,Lodik,MSI,2018
Gambit Esports,Edward,MSI,2018
Kaos Latin Gamers,Nate,MSI,2018
Kaos Latin Gamers,Tierwulf,MSI,2018
Kaos Latin Gamers,Plugo,MSI,2018
Kaos Latin Gamers,Fix,MSI,2018
Kaos Latin Gamers,Slow,MSI,2018
Rainbow7,Jirall,MSI,2018
Rainbow7,Oddie,MSI,2018
Rainbow7,Seiya,MSI,2018
Rainbow7,WhiteLotus,MSI,2018
Rainbow7,Genthix,MSI,2018
Ascension Gaming,Rockky,MSI,2018
Ascension Gaming,InTreso,MSI,2018
Ascension Gaming,G4,MSI,2018
Ascension Gaming,Lloyd,MSI,2018
Ascension Gaming,Rich,MSI,2018
SuperMassive Esports,fabFabulous,MSI,2018
SuperMassive Esports,Stomaged,MSI,2018
SuperMassive Esports,GBM,MSI,2018
SuperMassive Esports,Zeitnot,MSI,2018
SuperMassive Esports,SnowFlower,MSI,2018
Dire Wolves,Chippys,MSI,2018
Dire Wolves,Shernfire,MSI,2018
