"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","PPG","HLD%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"ahq eSports Club",10,4,6,35.8,125,135,0.93,0.72,-0.49,"-0.4%",,,-274,"30%","30%","60%",,,"30%","53%",,"30%","45%","49.1%","49.6%",3.46,0.43,1.1
"Bangkok Titans",6,0,6,28.6,45,120,0.38,0.96,-4.35,"-28.8%",,,-5233,"0%","17%","17%",,,"33%","13%",,"0%","0%","45.2%","46.5%",2.69,0.43,0.84
"Cloud9",7,3,4,33.2,83,125,0.66,0.9,-1.45,"-10.1%",,,-1705,"14%","43%","43%",,,"57%","42%",,"43%","56%","49.0%","44.5%",2.94,0.43,1.11
"Counter Logic Gaming",6,2,4,32.7,66,110,0.6,0.9,-0.97,"-12.5%",,,-792,"0%","67%","50%",,,"50%","45%",,"0%","0%","50.0%","48.1%",3.19,0.57,1.16
"EDward Gaming",9,4,5,32.1,109,106,1.03,0.75,-0.39,"-2.0%",,,143,"44%","33%","44%",,,"56%","43%",,"33%","31%","48.3%","52.0%",3.74,0.52,1.05
"Flash Wolves",10,5,5,41.7,140,110,1.27,0.6,-0.27,"3.3%",,,-576,"60%","10%","30%",,,"40%","49%",,"70%","71%","48.7%","47.7%",3.56,0.46,1.19
"Fnatic",12,7,5,35.9,188,176,1.07,0.84,1.58,"9.0%",,,1910,"83%","75%","75%",,,"58%","56%",,"58%","67%","52.9%","57.4%",3.51,0.53,1.13
"H2k-Gaming",6,2,4,31.7,65,81,0.8,0.77,0.08,"1.8%",,,1315,"50%","83%","33%",,,"17%","30%",,"33%","38%","51.8%","44.5%",3.15,0.56,1.05
"Invictus Gaming",6,2,4,36.1,70,79,0.89,0.69,-0.72,"-10.0%",,,-1053,"50%","33%","17%",,,"33%","46%",,"33%","33%","49.1%","43.3%",3.17,0.38,1.05
"KT Rolster",10,6,4,38.5,144,100,1.44,0.63,1.14,"4.3%",,,1056,"80%","60%","70%",,,"30%","42%",,"50%","43%","51.4%","51.5%",4.09,0.58,1.08
"LGD Gaming",6,2,4,37.7,81,101,0.8,0.81,-0.81,"-2.8%",,,-669,"33%","50%","17%",,,"33%","50%",,"50%","63%","49.3%","52.1%",3.34,0.36,1.13
"Origen",13,7,6,40.5,142,175,0.81,0.6,-0.09,"-2.2%",,,-230,"31%","46%","54%",,,"54%","49%",,"54%","48%","50.2%","51.3%",3.51,0.45,1.12
"paiN Gaming",6,2,4,36.2,65,99,0.66,0.76,-0.73,"-9.7%",,,-2250,"83%","67%","17%",,,"33%","35%",,"33%","33%","48.3%","49.7%",3.36,0.49,0.92
"ROX Tigers",17,11,6,35.6,276,195,1.42,0.78,0.55,"5.9%",,,884,"53%","47%","59%",,,"65%","59%",,"65%","57%","50.1%","49.8%",3.79,0.5,0.99
"SK Telecom T1",16,15,1,33.7,274,126,2.17,0.74,1.69,"17.1%",,,1375,"69%","69%","69%",,,"81%","78%",,"81%","89%","52.4%","53.9%",3.33,0.52,1.17
"TSM",6,1,5,41.7,64,101,0.63,0.66,-0.66,"-10.9%",,,620,"67%","67%","67%",,,"67%","45%",,"17%","13%","48.4%","43.7%",3.3,0.44,1.09