"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Abbedagge","100 Thieves","Middle",6,"50%","50%",15,16,26,2.6,"56.9%","20.8%","20.8%","0%",-445,-47,0.2,8.6,"26.7%",349,"22.2%","23.1%",242,"23.2%",0,0.53,0.24,0.24
"Adam","Fnatic","Top",6,"17%","50%",26,39,30,1.4,"59.6%","27.7%","23.4%","17%",-311,-264,-5.8,7.6,"26.4%",528,"24.0%","23.2%",264,"23.8%",0,0.32,0.11,0.22
"Ale","LNG Esports","Top",7,"43%","86%",24,20,29,2.7,"60.2%","27.3%","27.0%","43%",-28,-114,-3.7,8.7,"28.6%",416,"25.9%","24.9%",280,"25.7%",0,0.33,0.17,0.22
"Alphari","Team Liquid","Top",7,"43%","57%",19,17,22,2.4,"54.7%","25.3%","19.1%","14%",557,180,8.6,8.6,"26.9%",394,"24.6%","21.2%",266,"24.8%",0,0.48,0.16,0.15
"Aria","DetonatioN FocusMe","Middle",6,"0%","50%",14,13,20,2.6,"75.6%","31.1%","12.9%","50%",216,55,-4.3,7.8,"26.0%",395,"28.7%","26.4%",226,"24.8%",0,0.4,0.15,0.21
"Armut","MAD Lions KOI","Top",11,"36%","64%",35,46,61,2.1,"57.5%","21.0%","22.5%","9%",-38,69,3.3,7.8,"24.4%",430,"24.2%","23.3%",257,"22.7%",0,0.44,0.16,0.25
"Bdd","Gen.G","Middle",16,"63%","75%",52,40,100,3.8,"67.3%","23.0%","19.5%","44%",152,140,0.9,8,"23.0%",539,"30.4%","28.6%",259,"22.6%",0,0.44,0.19,0.21
"BEAN","Fnatic","ADC",6,"17%","33%",24,22,32,2.5,"59.6%","25.5%","13.2%","17%",179,216,1,8,"26.7%",484,"22.5%","21.8%",264,"23.4%",0,0.37,0.16,0.29
"BeryL","Dplus KIA","Support",19,"74%","63%",22,44,166,4.3,"64.6%","7.6%","23.2%","11%",62,192,1.4,1.3,"3.8%",173,"9.2%","8.5%",119,"10.0%",0,1.93,0.54,0.57
"Blaber","Cloud9","Jungle",10,"30%","60%",24,26,64,3.4,"73.3%","20.0%","17.9%","40%",117,181,6.7,6.2,"17.3%",280,"17.4%","16.9%",203,"18.5%",1,0.34,0.27,0.54
"Burdol","Gen.G","Top",3,"67%","0%",10,19,15,1.3,"52.1%","20.8%","38.8%","33%",-705,-729,-22.3,7.8,"28.0%",387,"21.2%","21.3%",269,"22.8%",0,0.27,0.12,0.23
"Bwipo","Fnatic","Jungle",6,"17%","67%",22,30,52,2.5,"78.7%","23.4%","18.0%","17%",132,331,15.7,6.2,"18.7%",442,"20.6%","21.0%",224,"20.5%",0,0.39,0.46,0.43
"Canna","T1","Top",14,"71%","43%",37,26,63,3.8,"61.0%","22.6%","25.7%","50%",94,59,1.4,8.5,"25.7%",477,"28.3%","27.5%",273,"23.5%",0,0.4,0.21,0.22
"Canyon","Dplus KIA","Jungle",19,"74%","42%",55,34,130,5.4,"63.6%","18.9%","17.9%","42%",39,24,0.4,5.2,"15.1%",253,"13.2%","13.7%",201,"17.1%",1,0.63,0.38,0.33
"Carzzy","MAD Lions KOI","ADC",11,"36%","9%",43,38,59,2.7,"61.1%","25.7%","18.6%","36%",-126,-12,-1.5,8.9,"30.1%",481,"25.7%","26.4%",290,"25.6%",1,0.37,0.11,0.33
"Chovy","Hanwha Life Esports","Middle",10,"40%","50%",35,23,54,3.9,"70.6%","27.8%","16.8%","30%",467,408,15.6,9,"28.4%",570,"31.0%","30.3%",288,"26.5%",0,0.49,0.11,0.45
"Clid","Gen.G","Jungle",16,"63%","50%",52,49,103,3.2,"68.6%","23.0%","23.9%","38%",-20,-173,-5.4,5.1,"14.8%",285,"16.3%","17.0%",196,"17.1%",5,0.6,0.41,0.49
"Closer","100 Thieves","Jungle",6,"50%","67%",13,20,34,2.4,"65.3%","18.1%","26.0%","33%",-77,-140,-6.2,5.6,"15.9%",184,"11.5%","11.1%",180,"17.3%",2,0.48,0.34,0.41
"CoreJJ","Team Liquid","Support",7,"43%","57%",6,25,47,2.1,"70.7%","8.0%","28.1%","0%",13,-60,5,1.1,"2.8%",104,"6.2%","6.1%",93,"8.5%",0,1.68,0.42,0.47
"Crisp","FunPlus Phoenix","Support",7,"29%","86%",6,20,33,2,"61.9%","9.5%","18.0%","29%",-105,-166,-0.3,0.9,"2.4%",89,"6.8%","5.5%",84,"7.9%",0,1.89,0.6,0.34
"Cryin","Royal Never Give Up","Middle",12,"58%","33%",31,28,114,5.2,"74.4%","15.9%","16.7%","25%",10,-185,-9.2,6.9,"20.9%",425,"23.5%","24.2%",237,"20.6%",0,0.42,0.15,0.15
"Deft","Hanwha Life Esports","ADC",10,"40%","80%",40,23,47,3.8,"69.0%","31.7%","16.8%","20%",332,168,10.7,8.8,"29.4%",561,"30.4%","32.8%",279,"25.8%",0,0.55,0.18,0.28
"Doinb","FunPlus Phoenix","Middle",7,"29%","71%",11,20,27,1.9,"60.3%","17.5%","18.0%","0%",-528,-279,-11.4,9,"27.9%",338,"24.8%","25.3%",275,"26.0%",0,0.39,0.13,0.22
"Elyoya","MAD Lions KOI","Jungle",11,"36%","73%",33,44,85,2.7,"70.7%","19.8%","21.6%","9%",-12,37,-2,5.3,"15.3%",258,"13.5%","13.6%",200,"17.3%",0,0.39,0.36,0.45
"Evi","DetonatioN FocusMe","Top",6,"0%","100%",10,25,18,1.1,"62.2%","22.2%","24.8%","17%",-334,-390,-14.8,7,"23.6%",331,"22.0%","16.9%",202,"21.7%",0,0.3,0.15,0.28
"Faker","T1","Middle",14,"71%","43%",26,20,67,4.7,"56.7%","15.9%","19.8%","36%",-29,-110,-3.3,8.1,"22.9%",364,"21.0%","19.7%",249,"21.3%",0,0.48,0.22,0.28
"FBI","100 Thieves","ADC",6,"50%","17%",23,14,28,3.6,"70.8%","31.9%","18.2%","17%",686,283,6,9.3,"30.6%",430,"29.6%","31.6%",293,"27.6%",0,0.49,0.2,0.28
"Flandre","EDward Gaming","Top",21,"62%","29%",56,53,91,2.8,"56.8%","21.6%","23.6%","14%",173,73,5.6,9.3,"29.9%",531,"28.7%","28.4%",295,"25.9%",0,0.26,0.12,0.31
"Fudge","Cloud9","Top",10,"30%","80%",32,27,41,2.7,"60.8%","26.7%","18.6%","0%",-280,-213,-8.4,8,"24.4%",398,"24.9%","25.1%",257,"22.8%",0,0.44,0.14,0.14
"Gaeng","DetonatioN FocusMe","Support",6,"0%","33%",2,23,22,1,"53.3%","4.4%","22.8%","17%",-645,-383,4.2,1,"2.7%",137,"10.3%","11.4%",73,"8.0%",0,1.66,0.65,0.33
"GALA","Royal Never Give Up","ADC",12,"58%","42%",51,21,58,5.2,"55.9%","26.2%","12.5%","25%",-135,-21,0,9.3,"32.3%",468,"24.1%","25.6%",304,"26.4%",0,0.38,0.14,0.33
"Ghost","Dplus KIA","ADC",19,"74%","68%",72,30,102,5.8,"59.8%","24.7%","15.8%","0%",25,27,-2.8,8.7,"28.8%",463,"24.1%","24.9%",292,"24.8%",0,0.53,0.21,0.25
"Gumayusi","T1","ADC",14,"71%","36%",49,14,52,7.2,"61.6%","29.9%","13.9%","29%",145,27,5.4,10.2,"34.2%",459,"26.5%","28.8%",324,"27.5%",0,0.47,0.2,0.33
"Hanabi","PSG Talon","Top",6,"50%","50%",35,18,38,4.1,"78.5%","37.6%","23.4%","33%",93,108,1.3,8.4,"29.2%",560,"28.5%","27.0%",308,"27.7%",0,0.38,0.18,0.39
"Hans Sama","Rogue","ADC",8,"38%","13%",33,15,37,4.7,"66.0%","31.1%","12.9%","0%",-106,-41,3.4,9.8,"32.9%",463,"27.2%","28.8%",308,"28.1%",0,0.47,0.15,0.49
"huhi","100 Thieves","Support",6,"50%","33%",10,14,49,4.2,"81.9%","13.9%","18.2%","33%",473,290,-4.7,0.7,"2.1%",178,"11.0%","9.9%",108,"10.0%",0,2.02,0.54,0.41
"Humanoid","MAD Lions KOI","Middle",11,"36%","55%",46,42,66,2.7,"67.1%","27.5%","20.6%","0%",78,241,1.1,8.9,"27.7%",534,"28.5%","29.5%",289,"25.8%",0,0.44,0.1,0.24
"Hylissang","Fnatic","Support",6,"17%","33%",3,47,65,1.4,"72.3%","3.2%","28.1%","17%",-43,29,-2,0.9,"2.3%",188,"9.1%","8.6%",96,"8.9%",0,1.69,0.45,0.36
"icon","LNG Esports","Middle",7,"43%","57%",27,22,28,2.5,"62.5%","30.7%","29.7%","29%",-219,-357,2,8.5,"23.4%",388,"22.9%","20.5%",261,"23.4%",0,0.39,0.14,0.14
"Inspired","Rogue","Jungle",8,"38%","75%",26,25,46,2.9,"67.9%","24.5%","21.6%","13%",4,-100,-2.5,5.4,"15.3%",300,"17.5%","17.9%",193,"17.7%",0,0.35,0.2,0.33
"Iwandy","LNG Esports","Support",7,"43%","57%",5,14,49,3.9,"61.4%","5.7%","18.9%","14%",-47,149,1.1,1,"2.7%",102,"6.6%","5.9%",94,"8.4%",0,1.71,0.51,0.4
"Jensen","Team Liquid","Middle",7,"43%","14%",24,15,33,3.8,"76.0%","32.0%","16.9%","14%",-155,-40,-5,8.5,"25.8%",495,"29.4%","29.7%",273,"25.3%",1,0.3,0.14,0.14
"JieJie","EDward Gaming","Jungle",21,"62%","52%",47,52,155,3.9,"78.0%","18.1%","23.1%","52%",152,226,5.2,5.2,"13.3%",268,"14.6%","15.1%",193,"16.7%",4,0.43,0.38,0.48
"Kaiser","MAD Lions KOI","Support",11,"36%","36%",10,34,112,3.6,"73.1%","6.0%","16.7%","36%",66,-135,-1.7,0.9,"2.5%",153,"8.0%","7.1%",99,"8.6%",0,2.05,0.5,0.42
"Kaiwing","PSG Talon","Support",6,"50%","50%",3,13,62,5,"69.9%","3.2%","16.9%","17%",-102,-156,-4.3,0.7,"1.4%",219,"11.1%","10.5%",89,"8.0%",0,1.76,0.52,0.26
"Keria","T1","Support",14,"71%","64%",8,17,120,7.5,"78.0%","4.9%","16.8%","36%",201,36,-1.8,0.9,"1.7%",136,"7.4%","5.9%",116,"9.8%",0,1.82,0.61,0.3
"Khan","Dplus KIA","Top",19,"74%","58%",67,55,113,3.3,"61.9%","23.0%","28.9%","32%",177,193,2.9,8.6,"28.3%",508,"26.3%","24.4%",287,"24.4%",0,0.44,0.25,0.32
"Larssen","Rogue","Middle",8,"38%","50%",25,19,37,3.3,"58.5%","23.6%","16.4%","13%",62,299,6.6,8.6,"25.1%",323,"19.3%","17.9%",269,"24.4%",0,0.35,0.07,0.14
"Life","Gen.G","Support",16,"63%","25%",19,39,149,4.3,"74.3%","8.4%","19.0%","13%",-16,-14,-1.3,0.7,"2.0%",127,"7.0%","5.9%",104,"8.9%",0,1.66,0.53,0.34
"Light","LNG Esports","ADC",7,"43%","43%",20,7,35,7.9,"62.5%","22.7%","9.5%","0%",137,-66,0.4,9.7,"31.8%",506,"30.9%","35.8%",291,"26.0%",0,0.38,0.09,0.37
"Lwx","FunPlus Phoenix","ADC",7,"29%","57%",21,20,17,1.9,"60.3%","33.3%","18.0%","29%",38,12,-0.6,9.4,"30.8%",287,"21.4%","22.5%",279,"26.3%",0,0.41,0.15,0.33
"Maple","PSG Talon","Middle",6,"50%","83%",26,16,30,3.5,"60.2%","28.0%","20.8%","0%",-360,-158,-3.2,8,"24.5%",445,"24.2%","24.6%",256,"23.5%",0,0.42,0.16,0.2
"Meiko","EDward Gaming","Support",21,"62%","48%",14,41,188,4.9,"78.0%","5.4%","18.2%","24%",-31,38,-2.9,0.8,"2.1%",156,"8.4%","7.5%",105,"9.0%",0,1.69,0.44,0.39
"Ming","Royal Never Give Up","Support",12,"58%","75%",14,45,105,2.6,"61.0%","7.2%","26.8%","25%",-89,-155,6.7,1,"2.3%",132,"6.9%","6.7%",102,"8.8%",0,1.71,0.49,0.34
"Morgan","Hanwha Life Esports","Top",10,"40%","50%",18,32,63,2.5,"64.3%","14.3%","23.4%","10%",-209,-15,-3.4,7.7,"25.2%",351,"18.9%","17.3%",239,"22.6%",0,0.38,0.27,0.24
"Nisqy","Fnatic","Middle",6,"17%","33%",19,29,47,2.3,"70.2%","20.2%","17.4%","17%",-489,-263,-9.3,7.9,"26.0%",522,"23.9%","25.4%",263,"23.4%",0,0.44,0.15,0.18
"Nuguri","FunPlus Phoenix","Top",7,"29%","14%",15,28,22,1.3,"58.7%","23.8%","25.2%","0%",-5,-7,5.1,8.3,"24.6%",476,"34.7%","34.3%",241,"22.8%",0,0.34,0.18,0.26
"Odoamne","Rogue","Top",8,"38%","38%",16,26,34,1.9,"47.2%","15.1%","22.4%","13%",-349,-178,-4,8,"24.7%",469,"27.2%","27.7%",238,"21.8%",0,0.39,0.12,0.28
"Oner","T1","Jungle",14,"71%","57%",44,24,72,4.8,"70.7%","26.8%","23.8%","50%",278,11,4.1,5.6,"15.6%",315,"16.9%","18.1%",210,"17.8%",3,0.39,0.26,0.55
"Perkz","Cloud9","Middle",10,"30%","40%",33,28,52,3,"70.8%","27.5%","19.3%","30%",103,-37,2.8,8.9,"26.5%",372,"23.5%","22.7%",282,"25.6%",0,0.43,0.14,0.22
"Rascal","Gen.G","Top",13,"62%","31%",37,33,51,2.7,"49.4%","20.8%","21.2%","15%",13,44,-1.1,8.7,"29.0%",360,"21.1%","21.6%",276,"24.6%",0,0.37,0.23,0.28
"River","PSG Talon","Jungle",6,"50%","67%",15,18,51,3.7,"71.0%","16.1%","23.4%","33%",-253,-210,-8.2,5.5,"16.9%",307,"15.9%","17.4%",200,"17.7%",0,0.36,0.26,0.37
"Ruler","Gen.G","ADC",16,"63%","69%",56,25,91,5.9,"65.0%","24.8%","12.2%","13%",3,-136,1.4,9.4,"31.4%",440,"25.2%","27.0%",313,"27.1%",0,0.55,0.25,0.4
"Santorin","Team Liquid","Jungle",7,"43%","57%",12,15,53,4.3,"86.7%","16.0%","16.9%","29%",-89,9,-0.7,4.8,"13.1%",246,"13.9%","13.2%",176,"16.5%",0,0.39,0.33,0.47
"Scout","EDward Gaming","Middle",21,"62%","43%",69,38,109,4.7,"68.7%","26.6%","16.9%","43%",88,36,3.1,8.5,"25.1%",415,"22.7%","23.1%",269,"23.4%",0,0.35,0.14,0.26
"ShowMaker","Dplus KIA","Middle",19,"74%","53%",75,27,125,7.4,"68.7%","25.8%","14.2%","32%",91,-41,1.5,8.2,"24.0%",506,"27.1%","28.5%",276,"23.6%",0,0.51,0.21,0.36
"Ssumday","100 Thieves","Top",6,"50%","50%",11,13,29,3.1,"55.6%","15.3%","16.9%","0%",-130,95,-5.2,7.8,"24.7%",412,"25.6%","24.3%",228,"21.9%",0,0.49,0.18,0.16
"Steal","DetonatioN FocusMe","Jungle",6,"0%","67%",7,24,18,1,"55.6%","15.6%","23.8%","33%",-546,-424,-9,5.1,"14.3%",233,"17.4%","19.7%",160,"18.4%",0,0.63,0.36,0.49
"Tactical","Team Liquid","ADC",7,"43%","86%",14,17,24,2.2,"50.7%","18.7%","19.1%","0%",-147,268,-4.3,9.3,"31.3%",453,"25.9%","29.8%",269,"24.9%",0,0.5,0.21,0.18
"Tarzan","LNG Esports","Jungle",7,"43%","14%",12,11,44,5.1,"63.6%","13.6%","14.9%","43%",63,110,3.3,5.3,"13.6%",236,"13.7%","12.9%",178,"16.5%",0,0.39,0.26,0.39
"Tian","FunPlus Phoenix","Jungle",7,"29%","14%",10,23,28,1.7,"60.3%","15.9%","20.7%","0%",-304,-9,1.3,5.4,"14.2%",171,"12.3%","12.5%",177,"17.0%",0,0.52,0.45,0.45
"Trymbi","Rogue","Support",8,"38%","38%",6,31,76,2.6,"77.4%","5.7%","26.7%","13%",-118,36,0.4,0.8,"2.1%",147,"8.8%","7.8%",90,"8.1%",0,1.92,0.5,0.35
"Unified","PSG Talon","ADC",6,"50%","33%",14,12,34,4,"51.6%","15.1%","15.6%","0%",-550,-339,-17.8,8.3,"28.0%",384,"20.3%","20.5%",257,"23.1%",0,0.48,0.19,0.28
"Viper","EDward Gaming","ADC",21,"62%","52%",73,41,104,4.3,"68.3%","28.2%","18.2%","24%",31,-50,1.4,9.2,"29.7%",477,"25.6%","25.9%",287,"25.0%",1,0.56,0.22,0.38
"Vsta","Hanwha Life Esports","Support",10,"40%","50%",8,31,81,2.9,"70.6%","6.3%","22.6%","20%",61,72,0.5,1,"2.4%",133,"7.4%","6.8%",94,"8.5%",0,1.71,0.58,0.34
"VULCAN","Cloud9","Support",10,"30%","40%",7,35,80,2.5,"72.5%","5.8%","24.1%","40%",44,-52,1,0.9,"2.3%",143,"9.7%","8.7%",89,"8.2%",0,1.74,0.6,0.35
"Wei","Royal Never Give Up","Jungle",12,"58%","42%",53,41,95,3.6,"75.9%","27.2%","24.4%","33%",-141,-106,-1.9,4.8,"13.9%",377,"19.7%","19.0%",214,"18.5%",1,0.5,0.44,0.48
"Willer","Hanwha Life Esports","Jungle",10,"40%","10%",25,28,64,3.2,"70.6%","19.8%","20.4%","40%",-11,-86,-7.2,5.2,"14.7%",221,"12.3%","12.9%",181,"16.6%",3,0.52,0.46,0.38
"Xiaohu","Royal Never Give Up","Top",12,"58%","58%",46,33,78,3.8,"63.6%","23.6%","19.6%","25%",180,71,6.7,8.8,"30.6%",505,"25.7%","24.6%",294,"25.7%",0,0.38,0.15,0.23
"Yutapon","DetonatioN FocusMe","ADC",6,"0%","67%",12,16,12,1.5,"53.3%","26.7%","15.8%","17%",-764,-117,-14.2,9.1,"33.4%",329,"21.6%","25.6%",249,"27.1%",0,0.26,0.04,0.31
"Zven","Cloud9","ADC",10,"30%","60%",24,29,45,2.4,"57.5%","20.0%","20.0%","30%",-14,-39,-1.2,9.4,"29.5%",378,"24.5%","26.6%",275,"24.9%",0,0.43,0.11,0.35